StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:


When cut in half, an earthworm can continue to live as two worms.","I believe the following statement:


There are more lifeforms living on your skin than there are people on the planet Earth.","I believe the following statement:
Contact with rust can cause a tetanus infection.","I believe the following statement:
The eye muscles move 100,000 times a day.","I believe the following statement:

A single cloud cannot weigh more than 1 million pounds.","I believe the following statement:
An adult human skeleton has 216 bones.","I believe the following statement:
Zebras are black with white stripes.","I believe the following statement:

Goldfish have a memory span of only a few seconds.","I believe the following statement:
 

Schizophrenia is another name for multiple personality disorder.","I believe the following statement:
 

Bananas grow on trees.","I believe the following statement:

On Saturn, it can rain diamonds.","I believe the following statement:
Humans only use 10% of their brains.","I believe the following statement:
Bananas are berries.","I believe the following statement:
 

Meteorites can be cold when they impact the Earth's surface.","I believe the following statement:


The human body contains enough carbon to fill 9,000 pencils.","I believe the following statement:
 

Sharks can contract cancer.","I believe the following statement:
 

The average human body contains 12 pints of blood.","I believe the following statement:
 

A blue whale's heart is the size of a truck.","I believe the following statement:
 

25% of all bones in the human body are in the feet.","I believe the following statement:
 

A human has more than five senses.","I believe the following statement:

Black Beatles is the song that was used for the mannequin challenge","I believe the following statement:

Charlie Chaplin outlived Elvis Presley.","I believe the following statement:



Harry Potter and the Deathly Hallows was released in 2007","I believe the following statement:



In the film Frozen, the fictional kingdom is called Arendelle.","I believe the following statement:



In the film Star Wars Episode V: The Empire Strikes Back, Darth Vader says the line: ""No. I am your father.""",I believe the following statement:,"I believe the following statement:

Puma has had collaborations with the likes of Rihanna, Kylie Jenner, and The Weekend.","I believe the following statement:

Punk Rock Music emerged in the 1970s,  featuring themes of heavier and louder sounds with anti-establishment lyrics.","I believe the following statement:

Taylor Swift won the 2016 Grammy for Album of the Year with the album ""1989"".","I believe the following statement:

Titanic and La La Land both have received 14 Oscar nominations.","I believe the following statement:

Albert is the name of Batman's butler.","I believe the following statement:

Alexander McQueen, a leading fashion designer, was found dead in his Paris studio in February 2010.","I believe the following statement:

Angelina Jolie and Brad Pitt have been married for 14 years.","I believe the following statement:

Hawkeye's real name is Bart Clinton.","I believe the following statement:



In 1968, the TV series Star Trek featured the first interracial kiss aired on American TV.","I believe the following statement:



In the film Alien, Sigurney Weaver's spaceship is called the ""Nostremo.""","I believe the following statement:



In the film Casablanca, Ingrid Bergman's character, Ilsa Lund, says the line: ""Play it again, Sam.""","I believe the following statement:



Jayne Mansfield, the famous Hitchcock leading lady, was the mother of Jamie Lee Curtis.","I believe the following statement:

Popstar Rihanna is from the Bahamas.","I believe the following statement:

When Marvel's Steve Rogers was 21 years old, he received the Super-Serum, turning him into Captain America.","I believe the following statement:
 

Do not answer this question. Just press the arrow to continue.",What is your year of birth?,What is your sex?,CompletionCode,Topic,Enter Embedded Data Field Name Here...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID29""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID44""}","{""ImportId"":""QID47""}","{""ImportId"":""QID53""}","{""ImportId"":""QID56""}","{""ImportId"":""QID59""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID64""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""CompletionCode""}","{""ImportId"":""Topic""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}"
2017-11-26 20:45:35,2017-11-26 20:45:35,Survey Test,,100,0,True,2017-11-26 20:45:36,R_cZnEqLDm5Lf0vEF,,,,,47.720504760742,-122.20669555664,test,,Agree,Undecided,Strongly Agree,Disagree,Strongly Disagree,Disagree,Undecided,Disagree,Strongly Agree,Agree,Agree,Undecided,Agree,Undecided,Strongly Disagree,Agree,Undecided,Strongly Disagree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,Strongly Agree,"Facilisi tempora, lacus turpis, nunc fusce. Imperdiet aenean aliquet egestas.",Male,15746551,,
2017-11-26 20:45:36,2017-11-26 20:45:37,Survey Test,,100,1,True,2017-11-26 20:45:37,R_2fsTZ2QnLqpMeqh,,,,,47.720504760742,-122.20669555664,test,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Undecided,Undecided,Undecided,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,Disagree,Ultrices! Vestibulum gravida lorem vel. Et. Porttitor erat! Neque accusamus.,Male,84764311,,
2017-11-26 20:45:37,2017-11-26 20:45:38,Survey Test,,100,1,True,2017-11-26 20:45:38,R_6J6inLrfuGPlswJ,,,,,47.720504760742,-122.20669555664,test,,Agree,Disagree,Strongly Agree,Agree,Undecided,Disagree,Undecided,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,Undecided,"Elit wisi, vel. Eu magna neque vitae pharetra, metus placerat accusamus, lorem cras ultricies enim.",Male,14094423,,
2017-11-26 20:45:38,2017-11-26 20:45:39,Survey Test,,100,1,True,2017-11-26 20:45:39,R_6JV4YbF8pO2BWnP,,,,,47.720504760742,-122.20669555664,test,,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Undecided,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Quis. Dui ullamcorper tellus ipsum. Vehicula vitae molestie suspendisse vitae sodales imperdiet? Vestibulum odio.,Male,51620384,,
2017-11-26 20:45:39,2017-11-26 20:45:40,Survey Test,,100,1,True,2017-11-26 20:45:40,R_3DeIhwBxtGapDI9,,,,,47.720504760742,-122.20669555664,test,,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,Agree,"Per molestie orci metus tincidunt! Eleifend tempor, sit. Porttitor leo ipsum arcu? Suscipit, luctus.",Male,61434981,,
2017-11-27 16:39:42,2017-11-27 16:40:34,Survey Preview,,100,52,True,2017-11-27 16:40:35,R_2zOOxSEPfhmgjPc,,,,,47.720504760742,-122.20669555664,preview,EN,Disagree,Agree,,,Undecided,Strongly Agree,Disagree,,Strongly Agree,,,,,,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,1984,Male,11067508,Science,
2017-11-27 16:52:43,2017-11-27 16:53:26,Survey Preview,,100,42,True,2017-11-27 16:53:26,R_22lzs2sFlLWbiDP,,,,,47.720504760742,-122.20669555664,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82004956,PopCulture,
2017-11-27 17:48:32,2017-11-27 17:51:09,IP Address,66.192.183.244,100,157,True,2017-11-27 17:51:09,R_0U6b1BWxYy1vtHH,,,,,47.61540222168,-122.21029663086,anonymous,EN,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Undecided,Disagree,Undecided,Undecided,,,,,,,,,,,,,,,,,,,,,,1994,Female,79366779,Science,
2017-11-27 12:24:03,2017-11-27 13:56:30,IP Address,192.150.22.5,4,5546,False,2017-11-27 17:56:31,R_33D8m7Vo4mcBSGF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54310802,,
2017-11-27 22:17:59,2017-11-27 22:40:07,IP Address,68.47.193.6,100,1328,True,2017-11-27 22:40:07,R_2aXOgFzn1CFL6Jc,,,,,35.889602661133,-86.316596984863,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Disagree,Undecided,Strongly Agree,Undecided,Agree,Agree,Disagree,Disagree,Disagree,Undecided,Agree,Undecided,Strongly Agree,Disagree,Agree,Agree,Agree,Undecided,,1988,Male,60384415,PopCulture,
2017-11-27 23:26:17,2017-11-27 23:29:05,IP Address,219.92.222.134,100,168,True,2017-11-27 23:29:06,R_2xSjzDyMo39XiJg,,,,,3.1788024902344,101.70449829102,anonymous,EN,Undecided,Strongly Agree,Agree,Strongly Agree,Undecided,Undecided,Disagree,Disagree,Strongly Disagree,Strongly Agree,Undecided,Strongly Disagree,Disagree,Agree,Disagree,Undecided,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1990,Male,46502510,Science,
2017-11-27 23:26:34,2017-11-27 23:29:11,IP Address,73.121.40.216,100,157,True,2017-11-27 23:29:12,R_2ZUOwTTvGvFPEli,,,,,36.265197753906,-82.833999633789,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Undecided,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Undecided,Agree,Disagree,Undecided,Undecided,Strongly Agree,Agree,,1993,Male,29130148,PopCulture,
2017-11-27 23:26:35,2017-11-27 23:29:24,IP Address,66.189.237.9,100,168,True,2017-11-27 23:29:24,R_e99Z7d4kZpxZR5f,,,,,36.63850402832,-89.525703430176,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1987,Male,71496854,Science,
2017-11-27 23:26:30,2017-11-27 23:29:42,IP Address,173.202.38.165,100,191,True,2017-11-27 23:29:42,R_2ANiEOPkNl7Sus6,,,,,35.482696533203,-91.491600036621,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,,1965,Male,42730345,PopCulture,
2017-11-27 23:28:24,2017-11-27 23:31:07,IP Address,173.168.226.248,100,163,True,2017-11-27 23:31:08,R_1jpQUg1CIqKBajh,,,,,28.006393432617,-82.59049987793,anonymous,EN,Undecided,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1997,Male,68862677,Science,
2017-11-27 23:27:06,2017-11-27 23:31:33,IP Address,72.177.9.86,100,267,True,2017-11-27 23:31:33,R_1rw4AGoIZVoRyJM,,,,,30.399993896484,-97.752799987793,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,,1973,Female,24744013,PopCulture,
2017-11-27 23:30:29,2017-11-27 23:34:10,IP Address,184.174.185.10,100,220,True,2017-11-27 23:34:11,R_WoeXKXVGe38yfPX,,,,,35.300704956055,-85.180702209473,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Undecided,Agree,Undecided,Agree,Agree,Undecided,Disagree,Agree,Undecided,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,,1969,Female,31751100,PopCulture,
2017-11-27 23:34:09,2017-11-27 23:35:27,IP Address,67.185.202.112,100,78,True,2017-11-27 23:35:28,R_1NFFcsQVccR03NO,,,,,47.634796142578,-117.25859832764,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Undecided,Strongly Agree,Undecided,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Undecided,,1989,Male,58348820,PopCulture,
2017-11-27 23:35:02,2017-11-27 23:36:51,IP Address,64.121.102.112,100,109,True,2017-11-27 23:36:51,R_3fABWkpeXxwGzDD,,,,,40.567794799805,-75.482803344727,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Undecided,Strongly Disagree,Undecided,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,,1991,Male,53021021,PopCulture,
2017-11-27 23:34:43,2017-11-27 23:36:56,IP Address,76.97.235.209,100,132,True,2017-11-27 23:36:56,R_1Fh97u57RdoxRa0,,,,,34.024703979492,-84.503303527832,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Disagree,Strongly Agree,Undecided,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Undecided,Strongly Agree,Disagree,,1993,Male,29638061,PopCulture,
2017-11-27 23:34:28,2017-11-27 23:37:23,IP Address,73.40.21.219,100,175,True,2017-11-27 23:37:24,R_1zEJokFaUqOwfpT,,,,,37.290603637695,-80.101402282715,anonymous,EN,Agree,Disagree,Strongly Agree,Undecided,Undecided,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Undecided,Disagree,Undecided,Undecided,Agree,Undecided,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1968,Female,79774328,Science,
2017-11-27 23:34:21,2017-11-27 23:37:42,IP Address,73.208.106.43,100,201,True,2017-11-27 23:37:42,R_2whig6Y2mWSdZgL,,,,,41.930999755859,-88.009002685547,anonymous,EN,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1974,Female,61244637,Science,
2017-11-27 23:36:08,2017-11-27 23:38:39,IP Address,74.65.197.210,100,150,True,2017-11-27 23:38:39,R_1jNhb7lbyxvJlEG,,,,,40.71110534668,-73.946899414062,anonymous,EN,Strongly Disagree,Strongly Agree,Undecided,Agree,Strongly Agree,Undecided,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Agree,Undecided,Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1985,Male,24220488,Science,
2017-11-27 23:31:15,2017-11-27 23:39:33,IP Address,70.124.32.115,100,497,True,2017-11-27 23:39:33,R_1dpghEv06jfJL8N,,,,,26.287399291992,-98.116798400879,anonymous,EN,Strongly Disagree,Undecided,Strongly Agree,Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1988,Female,83621349,Science,
2017-11-27 23:36:36,2017-11-27 23:39:33,IP Address,67.2.211.161,100,176,True,2017-11-27 23:39:33,R_vN1LTYe28BMF84N,,,,,40.842102050781,-111.90560150146,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Agree,Undecided,Strongly Agree,Undecided,Undecided,Strongly Agree,Undecided,Disagree,Agree,Undecided,Disagree,Undecided,Agree,Disagree,Strongly Disagree,Disagree,Agree,Undecided,,1986,Male,67492942,PopCulture,
2017-11-27 23:37:00,2017-11-27 23:41:00,IP Address,24.11.254.28,100,240,True,2017-11-27 23:41:01,R_bNj6E0YQeZrHKa5,,,,,36.241195678711,-86.784599304199,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,,1987,Female,78506569,PopCulture,
2017-11-27 23:42:10,2017-11-27 23:44:23,IP Address,174.221.2.129,100,132,True,2017-11-27 23:44:23,R_1E3ZXuVmAdXs1x9,,,,,41.696594238281,-87.663696289062,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Agree,Strongly Agree,Disagree,Undecided,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Undecided,Disagree,Agree,Agree,Disagree,Agree,Agree,,1983,Female,43750911,PopCulture,
2017-11-27 23:42:27,2017-11-27 23:44:58,IP Address,116.44.98.16,100,150,True,2017-11-27 23:44:58,R_Dc9YleTKhZTrYtP,,,,,37.511199951172,126.97409057617,anonymous,EN,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1996,Male,88655551,Science,
2017-11-27 23:44:23,2017-11-27 23:47:06,IP Address,174.193.155.194,100,162,True,2017-11-27 23:47:07,R_2sYMp35Hz25ozQb,,,,,35.828506469727,-79.798400878906,anonymous,EN,Strongly Agree,Agree,Agree,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Strongly Disagree,Strongly Agree,Undecided,Undecided,Strongly Disagree,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Agree,,,,,,,,,,,,,,,,,,,,,,1979,Female,96577819,Science,
