"YearOfBirth"	"Sex"	"Topic"	"Font"	"Agreement"
"13"	"1990"	"Male"	"Science"	"serif"	3.2
"14"	"1993"	"Male"	"PopCulture"	"serif"	3.47368421052632
"15"	"1987"	"Male"	"Science"	"serif"	3.2
"16"	"1965"	"Male"	"PopCulture"	"serif"	3.42105263157895
"17"	"1997"	"Male"	"Science"	"serif"	3.35
"18"	"1973"	"Female"	"PopCulture"	"serif"	3.10526315789474
"19"	"1969"	"Female"	"PopCulture"	"serif"	3.42105263157895
"20"	"1989"	"Male"	"PopCulture"	"serif"	3.78947368421053
"21"	"1991"	"Male"	"PopCulture"	"serif"	3.26315789473684
"22"	"1993"	"Male"	"PopCulture"	"serif"	3.84210526315789
"23"	"1968"	"Female"	"Science"	"serif"	3.2
"24"	"1974"	"Female"	"Science"	"serif"	3
"25"	"1985"	"Male"	"Science"	"serif"	2.6
"26"	"1988"	"Female"	"Science"	"serif"	3.4
"27"	"1986"	"Male"	"PopCulture"	"serif"	3.21052631578947
"28"	"1987"	"Female"	"PopCulture"	"serif"	3
"29"	"1983"	"Female"	"PopCulture"	"serif"	3.21052631578947
"30"	"1996"	"Male"	"Science"	"serif"	3.25
"31"	"1979"	"Female"	"Science"	"serif"	3.25
"32"	"1995"	"Male"	"PopCulture"	"serif"	3
"33"	"1983"	"Male"	"Science"	"serif"	3.5
"34"	"1981"	"Female"	"Science"	"serif"	3.65
"35"	"1984"	"Male"	"PopCulture"	"serif"	3.68421052631579
"36"	"1974"	"Male"	"Science"	"serif"	2.95
"37"	"1983"	"Male"	"PopCulture"	"serif"	3.31578947368421
"38"	"1991"	"Female"	"Science"	"serif"	2.85
"39"	"1994"	"Female"	"PopCulture"	"serif"	3.63157894736842
"40"	"1977"	"Male"	"PopCulture"	"serif"	3.05263157894737
"41"	"1991"	"Female"	"Science"	"serif"	3.45
"42"	"1990"	"Male"	"Science"	"serif"	2.7
"43"	"1981"	"Male"	"Science"	"serif"	3.2
"44"	"1963"	"Male"	"PopCulture"	"serif"	4.26315789473684
"45"	"1994"	"Male"	"PopCulture"	"serif"	3.47368421052632
"46"	"1979"	"Female"	"PopCulture"	"serif"	3.21052631578947
"47"	"1994"	"Female"	"Science"	"serif"	3.2
"48"	"1992"	"Female"	"Science"	"serif"	3.85
"50"	"1979"	"Male"	"Science"	"serif"	3.3
"51"	"1973"	"Male"	"PopCulture"	"serif"	4.47368421052632
"52"	"1997"	"Female"	"Science"	"serif"	3.45
"53"	"1981"	"Male"	"PopCulture"	"serif"	3.36842105263158
"54"	"1962"	"Male"	"PopCulture"	"serif"	2.57894736842105
"55"	"1989"	"Male"	"Science"	"serif"	3.6
"56"	"1984"	"Male"	"Science"	"serif"	3.1
"57"	"1981"	"Male"	"PopCulture"	"serif"	3.36842105263158
"58"	"1975"	"Female"	"PopCulture"	"serif"	3
"59"	"1968"	"Male"	"Science"	"serif"	3.05
"60"	"1990"	"Female"	"Science"	"serif"	3.2
"61"	"1997"	"Female"	"PopCulture"	"serif"	3.47368421052632
"62"	"1988"	"Male"	"PopCulture"	"serif"	4.47368421052632
"63"	"1990"	"Female"	"Science"	"serif"	3.2
"66"	"1973"	"Male"	"PopCulture"	"serif"	3.73684210526316
"67"	"1999"	"Female"	"PopCulture"	"serif"	3.47368421052632
"68"	"1972"	"Female"	"Science"	"serif"	2.95
"69"	"1977"	"Male"	"PopCulture"	"serif"	3.10526315789474
"72"	"1980"	"Female"	"PopCulture"	"serif"	3.21052631578947
"74"	"1950"	"Female"	"Science"	"serif"	3.1
"75"	"1991"	"Female"	"Science"	"serif"	4.05
"76"	"1991"	"Female"	"Science"	"serif"	3.7
"77"	"1982"	"Female"	"PopCulture"	"serif"	2.73684210526316
"78"	"1984"	"Female"	"Science"	"serif"	3.45
"79"	"1962"	"Female"	"PopCulture"	"serif"	3.10526315789474
"80"	"1962"	"Female"	"PopCulture"	"serif"	3.26315789473684
"81"	"1986"	"Female"	"Science"	"serif"	3.6
"82"	"1994"	"Male"	"PopCulture"	"serif"	3.68421052631579
"83"	"1974"	"Male"	"Science"	"serif"	2.55
"84"	"1976"	"Female"	"Science"	"serif"	3.4
"86"	"1970"	"Female"	"PopCulture"	"serif"	3.42105263157895
"87"	"1978"	"Male"	"Science"	"serif"	3.7
"89"	"1981"	"Female"	"Science"	"serif"	3.2
"90"	"1972"	"Female"	"Science"	"serif"	3.1
"91"	"1963"	"Female"	"PopCulture"	"serif"	3.21052631578947
